Date,Country Advertisers Mobile OS,Budget, Installs 
13/01/2016,EU GoogleSearch Android,558.34," 2,514 "
13/01/2016,EU GoogleSearch iOS,102.52, 215 
13/01/2016,US Facebook Android,"1,527.26"," 1,038 "
13/01/2016,US Facebook iOS,"1,212.24", 522 
13/01/2016,US GoogleSearch Android,"2,680.22"," 1,595 "
13/01/2016,US GoogleSearch iOS,576.30, 215 
14/01/2016,EU Facebook Android,154.58, 629 
14/01/2016,EU Facebook iOS,40.98, 83 
14/01/2016,EU GoogleSearch Android,538.45," 2,427 "
14/01/2016,EU GoogleSearch iOS,111.47, 212 
14/01/2016,US Facebook Android,"1,480.77", 938 
14/01/2016,US Facebook iOS,"1,159.09", 474 
14/01/2016,US GoogleSearch Android,"2,781.00"," 1,630 "
14/01/2016,US GoogleSearch iOS,596.71, 191 
15/01/2016,EU Facebook Android,154.58, 563 
15/01/2016,EU Facebook iOS,40.43, 78 
15/01/2016,EU GoogleSearch Android,520.73," 2,168 "
15/01/2016,EU GoogleSearch iOS,100.86, 178 
15/01/2016,US Facebook Android,"1,480.79"," 1,019 "
15/01/2016,US Facebook iOS,"1,161.21", 421 
15/01/2016,US GoogleSearch Android,"2,627.77"," 1,617 "
15/01/2016,US GoogleSearch iOS,567.93, 203 
16/01/2016,EU Facebook Android,154.58, 629 
16/01/2016,EU Facebook iOS,40.91, 96 
16/01/2016,EU GoogleSearch Android,502.48," 1,943 "
16/01/2016,EU GoogleSearch iOS,89.65, 186 
16/01/2016,US Facebook Android,"1,480.79"," 1,192 "
16/01/2016,US Facebook iOS,"1,157.76", 516 
16/01/2016,US GoogleSearch Android,"2,631.85"," 1,504 "
16/01/2016,US GoogleSearch iOS,538.89, 216 
17/01/2016,EU Facebook Android,154.58, 606 
17/01/2016,EU Facebook iOS,40.94, 87 
17/01/2016,EU GoogleSearch Android,474.43," 1,914 "
17/01/2016,EU GoogleSearch iOS,89.06, 196 
17/01/2016,US Facebook Android,"1,520.65"," 1,066 "
17/01/2016,US Facebook iOS,"1,163.10", 519 
17/01/2016,US GoogleSearch Android,"2,573.61"," 1,514 "
17/01/2016,US GoogleSearch iOS,389.61, 165 
18/01/2016,EU Facebook Android,154.58, 644 
18/01/2016,EU Facebook iOS,40.52, 103 
18/01/2016,EU GoogleSearch Android,565.82," 2,295 "
18/01/2016,EU GoogleSearch iOS,114.86, 226 
18/01/2016,US Facebook Android,"1,508.71"," 1,437 "
18/01/2016,US Facebook iOS,"1,139.26", 557 
18/01/2016,US GoogleSearch Android,"2,780.01"," 1,656 "
18/01/2016,US GoogleSearch iOS,572.93, 199 
19/01/2016,EU Facebook Android,154.58, 555 
19/01/2016,EU Facebook iOS,39.99, 100 
19/01/2016,EU GoogleSearch Android,565.66," 2,403 "
19/01/2016,EU GoogleSearch iOS,116.54, 231 
19/01/2016,US Facebook Android,"1,719.24"," 1,676 "
19/01/2016,US Facebook iOS,"1,109.41", 609 
19/01/2016,US GoogleSearch Android,"2,405.32"," 1,611 "
19/01/2016,US GoogleSearch iOS,625.26, 235 
20/01/2016,EU Facebook Android,164.35, 561 
20/01/2016,EU Facebook iOS,46.30, 81 
20/01/2016,EU GoogleSearch Android,531.85," 2,245 "
20/01/2016,EU GoogleSearch iOS,111.56, 213 
20/01/2016,US Facebook Android,"1,658.18"," 1,196 "
20/01/2016,US Facebook iOS,"1,027.64", 522 
20/01/2016,US GoogleSearch Android,"2,257.96"," 1,582 "
20/01/2016,US GoogleSearch iOS,580.18, 213 
21/01/2016,EU Facebook Android,164.35, 589 
21/01/2016,EU Facebook iOS,46.91, 80 
21/01/2016,EU GoogleSearch Android,525.41," 2,050 "
21/01/2016,EU GoogleSearch iOS,96.27, 209 
21/01/2016,US Facebook Android,"1,693.56"," 1,350 "
21/01/2016,US Facebook iOS,"1,073.73", 460 
21/01/2016,US GoogleSearch Android,"2,222.72"," 1,460 "
21/01/2016,US GoogleSearch iOS,562.17, 189 
22/01/2016,EU Facebook Android,164.35, 612 
22/01/2016,EU Facebook iOS,46.68, 94 
22/01/2016,EU GoogleSearch Android,485.00," 1,779 "
22/01/2016,EU GoogleSearch iOS,86.92, 173 
22/01/2016,US Facebook Android,"1,721.27"," 1,596 "
22/01/2016,US Facebook iOS,"1,111.42", 570 
22/01/2016,US GoogleSearch Android,"2,257.66"," 1,473 "
22/01/2016,US GoogleSearch iOS,528.17, 186 
23/01/2016,EU Facebook Android,164.35, 600 
23/01/2016,EU Facebook iOS,45.96, 62 
23/01/2016,EU GoogleSearch Android,468.61," 1,657 "
23/01/2016,EU GoogleSearch iOS,82.02, 152 
23/01/2016,US Facebook Android,"1,721.27"," 1,583 "
23/01/2016,US Facebook iOS,"1,112.69", 528 
23/01/2016,US GoogleSearch Android,"2,447.42"," 1,562 "
23/01/2016,US GoogleSearch iOS,556.89, 207 
24/01/2016,EU Facebook Android,164.35, 673 
24/01/2016,EU Facebook iOS,46.47, 106 
24/01/2016,EU GoogleSearch Android,455.97," 1,756 "
24/01/2016,EU GoogleSearch iOS,66.92, 132 
24/01/2016,US Facebook Android,"1,712.19"," 1,672 "
24/01/2016,US Facebook iOS,"1,155.81", 515 
24/01/2016,US GoogleSearch Android,"2,439.15"," 1,524 "
24/01/2016,US GoogleSearch iOS,505.59, 184 
25/01/2016,EU Facebook Android,147.32, 645 
25/01/2016,EU Facebook iOS,46.89, 104 
25/01/2016,EU GoogleSearch Android,441.84," 1,843 "
25/01/2016,EU GoogleSearch iOS,96.13, 189 
25/01/2016,US Facebook Android,"1,655.53"," 1,451 "
25/01/2016,US Facebook iOS,912.97, 486 
25/01/2016,US GoogleSearch Android,"2,600.10"," 1,886 "
25/01/2016,US GoogleSearch iOS,582.10, 225 
26/01/2016,EU Facebook Android,122.30, 483 
26/01/2016,EU Facebook iOS,46.21, 96 
26/01/2016,EU GoogleSearch Android,406.75," 1,662 "
26/01/2016,EU GoogleSearch iOS,92.17, 202 
26/01/2016,US Facebook Android,"1,445.20"," 1,076 "
26/01/2016,US Facebook iOS,890.83, 486 
26/01/2016,US GoogleSearch Android,"2,069.22"," 1,701 "
26/01/2016,US GoogleSearch iOS,538.79, 216 
27/01/2016,EU Facebook Android,146.75, 509 
27/01/2016,EU Facebook iOS,80.23, 144 
27/01/2016,EU GoogleSearch Android,468.25," 1,752 "
27/01/2016,EU GoogleSearch iOS,97.53, 222 
27/01/2016,US Facebook Android,"1,554.57"," 1,085 "
27/01/2016,US Facebook iOS,"1,030.50", 489 
27/01/2016,US GoogleSearch Android,"1,796.57"," 1,354 "
27/01/2016,US GoogleSearch iOS,420.54, 180 
28/01/2016,EU Facebook Android,146.75, 564 
28/01/2016,EU Facebook iOS,82.40, 165 
28/01/2016,EU GoogleSearch Android,440.87," 1,639 "
28/01/2016,EU GoogleSearch iOS,100.88, 199 
28/01/2016,US Facebook Android,"1,315.51", 856 
28/01/2016,US Facebook iOS,"1,029.57", 457 
28/01/2016,US GoogleSearch Android,"1,844.50"," 1,250 "
28/01/2016,US GoogleSearch iOS,491.88, 193 
29/01/2016,EU Facebook Android,146.75, 554 
29/01/2016,EU Facebook iOS,83.87, 129 
29/01/2016,EU GoogleSearch Android,413.88," 1,495 "
29/01/2016,EU GoogleSearch iOS,97.41, 190 
29/01/2016,US Facebook Android,"1,248.07", 816 
29/01/2016,US Facebook iOS,"1,018.70", 458 
29/01/2016,US GoogleSearch Android,"1,713.52"," 1,164 "
29/01/2016,US GoogleSearch iOS,478.30, 174 
30/01/2016,EU Facebook Android,146.75, 470 
30/01/2016,EU Facebook iOS,81.45, 107 
30/01/2016,EU GoogleSearch Android,382.89," 1,354 "
30/01/2016,EU GoogleSearch iOS,83.30, 167 
30/01/2016,US Facebook Android,"1,233.35", 873 
30/01/2016,US Facebook iOS,"1,012.37", 390 
30/01/2016,US GoogleSearch Android,"1,717.49"," 1,170 "
30/01/2016,US GoogleSearch iOS,406.18, 162 
31/01/2016,EU Facebook Android,146.75, 500 
31/01/2016,EU Facebook iOS,81.51, 125 
31/01/2016,EU GoogleSearch Android,409.13," 1,299 "
31/01/2016,EU GoogleSearch iOS,64.61, 146 
31/01/2016,US Facebook Android,"1,195.08", 856 
31/01/2016,US Facebook iOS,996.88, 434 
31/01/2016,US GoogleSearch Android,"1,447.76", 961 
31/01/2016,US GoogleSearch iOS,292.77, 144 
01/02/2016,EU Facebook Android,146.73, 631 
01/02/2016,EU Facebook iOS,81.32, 168 
01/02/2016,EU GoogleSearch Android,419.60," 1,489 "
01/02/2016,EU GoogleSearch iOS,102.22, 228 
01/02/2016,US Facebook Android,"1,263.79", 972 
01/02/2016,US Facebook iOS,"1,021.69", 493 
01/02/2016,US GoogleSearch Android,"1,534.70"," 1,108 "
01/02/2016,US GoogleSearch iOS,482.92, 206 
02/02/2016,EU Facebook Android,190.76, 715 
02/02/2016,EU Facebook iOS,104.62, 216 
02/02/2016,EU GoogleSearch Android,446.66," 1,463 "
02/02/2016,EU GoogleSearch iOS,108.68, 223 
02/02/2016,US Facebook Android,"1,357.29", 850 
02/02/2016,US Facebook iOS,974.38, 477 
02/02/2016,US GoogleSearch Android,"1,856.21"," 1,257 "
02/02/2016,US GoogleSearch iOS,472.41, 213 
03/02/2016,EU Facebook Android,190.76, 861 
03/02/2016,EU Facebook iOS,104.16, 164 
03/02/2016,EU GoogleSearch Android,422.43," 1,465 "
03/02/2016,EU GoogleSearch iOS,106.34, 223 
03/02/2016,US Facebook Android,"1,403.54"," 1,357 "
03/02/2016,US Facebook iOS,954.20, 436 
03/02/2016,US GoogleSearch Android,"1,852.77"," 1,180 "
03/02/2016,US GoogleSearch iOS,502.88, 186 
04/02/2016,EU Facebook Android,190.76, 725 
